event,arg,line,offset,opcode,locals
line,,7,26,LOAD_BUILD_CLASS,"{'functionCallString': 'from typing import List\nclass ListNode:\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\nclass Solution:\n    def mergeKLists(self, lists: List[ListNode]) -> ListNode:\n        head = ListNode(None)\n        curr = head\n        h = []\n        for i in range(len(lists)):\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        while h:\n            val, i = heapq.heappop(h)\n            curr.next = ListNode(val)\n            curr = curr.next\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        return head.next', 'f': <_io.TextIOWrapper name='algoData89f6b653-c37a-4045-b907-feeaaaa69f76.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fa368476090>, 'List': typing.List, 'ListNode': <class 'createCSV.ListNode'>}"
opcode,,7,26,LOAD_BUILD_CLASS,"{'functionCallString': 'from typing import List\nclass ListNode:\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\nclass Solution:\n    def mergeKLists(self, lists: List[ListNode]) -> ListNode:\n        head = ListNode(None)\n        curr = head\n        h = []\n        for i in range(len(lists)):\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        while h:\n            val, i = heapq.heappop(h)\n            curr.next = ListNode(val)\n            curr = curr.next\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        return head.next', 'f': <_io.TextIOWrapper name='algoData89f6b653-c37a-4045-b907-feeaaaa69f76.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fa368476090>, 'List': typing.List, 'ListNode': <class 'createCSV.ListNode'>}"
opcode,,7,28,LOAD_CONST,"{'functionCallString': 'from typing import List\nclass ListNode:\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\nclass Solution:\n    def mergeKLists(self, lists: List[ListNode]) -> ListNode:\n        head = ListNode(None)\n        curr = head\n        h = []\n        for i in range(len(lists)):\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        while h:\n            val, i = heapq.heappop(h)\n            curr.next = ListNode(val)\n            curr = curr.next\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        return head.next', 'f': <_io.TextIOWrapper name='algoData89f6b653-c37a-4045-b907-feeaaaa69f76.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fa368476090>, 'List': typing.List, 'ListNode': <class 'createCSV.ListNode'>}"
opcode,,7,30,LOAD_CONST,"{'functionCallString': 'from typing import List\nclass ListNode:\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\nclass Solution:\n    def mergeKLists(self, lists: List[ListNode]) -> ListNode:\n        head = ListNode(None)\n        curr = head\n        h = []\n        for i in range(len(lists)):\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        while h:\n            val, i = heapq.heappop(h)\n            curr.next = ListNode(val)\n            curr = curr.next\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        return head.next', 'f': <_io.TextIOWrapper name='algoData89f6b653-c37a-4045-b907-feeaaaa69f76.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fa368476090>, 'List': typing.List, 'ListNode': <class 'createCSV.ListNode'>}"
opcode,,7,32,MAKE_FUNCTION,"{'functionCallString': 'from typing import List\nclass ListNode:\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\nclass Solution:\n    def mergeKLists(self, lists: List[ListNode]) -> ListNode:\n        head = ListNode(None)\n        curr = head\n        h = []\n        for i in range(len(lists)):\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        while h:\n            val, i = heapq.heappop(h)\n            curr.next = ListNode(val)\n            curr = curr.next\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        return head.next', 'f': <_io.TextIOWrapper name='algoData89f6b653-c37a-4045-b907-feeaaaa69f76.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fa368476090>, 'List': typing.List, 'ListNode': <class 'createCSV.ListNode'>}"
opcode,,7,34,LOAD_CONST,"{'functionCallString': 'from typing import List\nclass ListNode:\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\nclass Solution:\n    def mergeKLists(self, lists: List[ListNode]) -> ListNode:\n        head = ListNode(None)\n        curr = head\n        h = []\n        for i in range(len(lists)):\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        while h:\n            val, i = heapq.heappop(h)\n            curr.next = ListNode(val)\n            curr = curr.next\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        return head.next', 'f': <_io.TextIOWrapper name='algoData89f6b653-c37a-4045-b907-feeaaaa69f76.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fa368476090>, 'List': typing.List, 'ListNode': <class 'createCSV.ListNode'>}"
opcode,,7,36,CALL_FUNCTION,"{'functionCallString': 'from typing import List\nclass ListNode:\n    def __init__(self, val=0, next=None):\n        self.val = val\n        self.next = next\n\nclass Solution:\n    def mergeKLists(self, lists: List[ListNode]) -> ListNode:\n        head = ListNode(None)\n        curr = head\n        h = []\n        for i in range(len(lists)):\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        while h:\n            val, i = heapq.heappop(h)\n            curr.next = ListNode(val)\n            curr = curr.next\n            if lists[i]:\n                heapq.heappush(h, (lists[i].val, i))\n                lists[i] = lists[i].next\n        \n        return head.next', 'f': <_io.TextIOWrapper name='algoData89f6b653-c37a-4045-b907-feeaaaa69f76.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7fa368476090>, 'List': typing.List, 'ListNode': <class 'createCSV.ListNode'>}"
call,,7,-1,<0>,{}
line,,7,0,LOAD_NAME,{}
opcode,,7,0,LOAD_NAME,{}
